Sl. No.,States / Union Territories,Annual Replenishable Ground Water Resource,Column_3,Column_4,Column_5,Column_6,Natural Discharge during non- monsoon season,Net Annual Ground Water Availability,Annual Ground Water Draft,Column_10,Column_11,Projected demand for Domestic and Industrial uses upto 2025,Ground Water Availability for future irrigation,Stage of Ground Water Development (%),Sl. No._1,District,Natural,Net Ground Water Availability,Projected demand for Domestic and Industrial uses upto 2025_1,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)_1,Provision for Natural Discharges,Net Annual Ground Water Availability_1,Union Territory,Islands,Region,States / Union Territories_1,Total No. of Assessed Units,Safe,Semi-critical,Critical,Column_8,Over-exploited,Saline,Column_12,Sl. No. DISTRICT SEMI-CRITICAL CRITICAL OVER EXPLOITED Saline,No. of Assessed Blocks,Semi Critical,Sl.no. District Semi-critical Critical Over-exploited Saline,Sl. No. District Semi-critical Critical Over-exploited Saline,No of Assessed Blocks,Over Exploited,No. of Assessed Tehsils,Sl. NO.District Semi Critical Critical Over-Exploited Saline,No. of Assessed Units,Sl. No. District Semi critical Critical Over exploited Saline,No. of block Assessed,Semi critical,Over-exploted,Sl. No. DISTRICT Semi-critical Critical Over-exploited Saline,No. of Assessed VALLEY,Sl No Districts Semi-critical Critical Over-Exploited Saline,Sr.No. District Semi-Critical Critical Over-exploited Saline,Sl.No. District: Semi-Critical Critical Over-Exploited Saline,Sl. No. District Semi-Critical Critical Over-Exploited Saline,Sl.No District Semi Critical Critical Over Exploited Saline,CATEGORISATION OF BLOCKS IN TAMIL NADU,Column_1,Column_2,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,CATEGORIZTION OF BLOCKS IN UTTAR PRADESH,S. No. District Semi-critical Critical Over-Exploited Saline,Over-Exploited,Sl. No. Union Territory Semi-critical Critical Over-exploited Saline,S. No. Islands Semi-Critical Critical Over-exploited Saline,No. of Assessed Islands,No. of Assessed Regions,Parameter,Normal,Assessment year,Total (Command/Non-command),Soil Type,:,Sandy to sandy loams Soil,Type of Structure,Monsoon Season,Non-Monsoon Season,Data Source,Name of canal segment,Lined or unlined,Length of canal (m),Wetted perimeter (m),Wetted area (m.sqm),Seepage factor (ham per day per million square meters of wetted area),No of running days,Column_7,Seepage(ham),Column_9,Data Source_1,Name of (canal) Outlet,Irrigation Water Applied (ham),Return Flow Factor (Command area),Recharg e from Surface Water Irrigatio n (ham),Irrigatio n Water Applied (ham),Recharge from Surface Water Irrigatio n (ham),Irrigation Water Applied (GW Draft) (ham),Recharge from Ground Water Irrigation (ham),Name of Tanks/ Ponds,Average Water Spread Area (ha),No. of days water is available,Recharge from Tanks and Ponds (0.00144 *2*3),Column_0,Agriculture Deptt.,Sr. No,Name of the Structure,No. of structures,Gross Storage [ha.m],Recharge ( ham ),Normal Rainfall (m),Rainfall Infiltration Factor,Assessment Area (ha),Rainfall Recharge (ham) (1*2*3),Average pre- monsoon Depth to Water level (m bgl),Average post- monsoon Depth to Water level (m bgl),Water Level Fluctuation (m) (1-2),Rock Type,Specif ic Yield,Average Water Level Fluctuation (m),Change in Storage (ham),Ground Water Draft (ham),Ground Water Recharge (ham) (5+6),Recharge from Other Sources (ham),Rainfall Recharg e (ham) (8-7),Assessment Year,Rainfall Recharge,Rainfall for the corresponding Year,Recharge corresponding to Normal Rainfall (Normal Monsoon Rainfall *[2]/[3]),Projected population density at year 2025,Domestic & Industrial Water Supply Requirement (lpcd),Extend of Dependenc e on Ground Water,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (mm) [(22/60000)*(1)* (2)*(3)],Area,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham) [(5)*(4)/1000],Net Annual Ground Water Availability (ham),Annual Ground Water Draft for Irrigation use (ham),Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham),Net Ground Water Availability for future Irrigation (ham) [(1)-(2)-(3)],Annual Replenishable Ground Water Resources,Natural Discharg e during monsoon season,Net Annual Ground Water Availabili ty,Annual Ground Water Draft_1,Net Ground Water Availability for future Irrigation (ham),Stage of Ground Water Development (%)_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Tumkur 1 Pavagada (NC) 1 Gubbi (NC) 1 Chicknayakanhalli (NC)
2 Kunigal (NC) 2 Koratagere (NC)
3 Sira (NC) 3 Madhugiri (NC)
4 Tiptur (NC)
5 Tumkur (NC)
6 Turuvekere (NC)
26 Yadgir 1 Shahpur (NC)
2 Yadgir (NC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,63,Nil,,,270,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Alappuzha
2 Ernakulam 1 Parakkadavu
2 Paravoor
3 Vypin
3 Idukki 1 Kattappana
2 Nedumkandam
4 Kannur 1 Kalyasseri
2 Panur
5 Kasargod 1 Kanhangad 1 Kasargod
2 Karadka
3 Manjeswar
6 Kollam 1 Chittumala
7 Kottayam
8 Kozhikode 1 Balussery
2 Kunnamangalam
9 Malappuram 1 Kondotty
2 Tanur
3 Tirurangadi
10 Palakkad 1 Pattambi 1 Malampuzha 1 Chittoor
2 Thrithala
11 Pathanamthitta
12 Thiruvananthapuram 1 Athiyannur
2 Nedumangad
4 Parassala
13 Thrissur 1 Mathilakam
2 Thalikkulam
14 Waynad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,Nil,,,152,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Barwani 1 Rajpur 1 Pansemal
2 Thikri
2 Betul 1 Betul
3 Bhopal 1 Berasia
2 Phanda
4 Buhanpur 1 Burhanpur
5 Chhatarpur 1 Badamalhara
2 Buxwaha
3 Chhatarpur
4 Nowgaon
5 Rajnagar
6 Chhindwara 1 Chhindwara
7 Damoh 1 Hatta
2 Pathariya
8 Datia 1 Datia
9 Dewas 1 Khategaon 1 Dewas
2 Sonkutch
10 Dhar 1 Manawar 1 Badnawar
2 Tirla 2 Dhar
3 Dharampuri
4 Nalcha
11 Guna 1 Guna
12 Gwalior 1 Morar
13 Indore 1 Mhow 1 Depalpur
2 Indore
3 Sanwer
14 Jabalpur 1 Shahapura
15 Khargone 1 Barwaha
2 Khargone
3 Mahashwar
16 Khandwa 1 Chhegaon Makhan
17 Mandsaur 1 Bhanpura 1 Mandsaur
2 Malahargarh 2 Sitamau
18 Morena 1 Kailaras
2 Morena
3 Porsa
4 Sabalgarh
19 Neemuch 1 Jawad
2 Neemuch
20 Narsinghpur 1 ChanwarPatha 1 Narsinghpur
2 Gotegaon
3 Kareli
21 Panna 1 Ajaygarh
22 Rajgarh 1 Biora
2 Khilchipur
3 Narsinghgarh
4 Sarangpur
23 Ratlam 1 Sailana 1 Alote
2 Jaora
3 Piploda
4 Ratlam
24 Rewa 1 Gangeo
2 Sirmour
25 Satna 1 Maihar 1 Amarpatan 1 Rampur Baghalan
2 Nagod 2 Sohawal
26 Sagar 1 Banda
2 Sagar
27 Sehore 1 Astha
2 Sehore
28 Shajapur 1 Barod 1 Agar 1 Mohan Barodia
2 Kalapipal 2 Nalkhera
3 Shajapur 3 Shujalpur
4 Susner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29Shivpuri 1 Badarwas
2 Karera
3 Khanniyadhana
4 Narwar
5 Pichor
30 Sidhi 1Sidhi
31Tikamgarh 1 Baldeogarh
2 Jatara
3 Niwari
4 Palera
5 Tikamgarh
32Ujjain 1 Khachrod 1 Badnagar
2 Mahidpur 2 Ghatia
3 Ujjain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,24,Nil,,,313,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Ahmednagar 1 Kopargaon 1 Rahata
2 Newasa
3 Sangamner
4 Shrirampur
2 Amravati 1 Achalpur 1 Chandur Bazar 1 Daryapur
2 Morshi
3 Warud
3 Buldhana 1 Motala 1 Jalgaon (Jamod)
4 Jalgaon 1 Bodwad 1 Raver
2 Chopda 2 Yawal
3 Parola
4 Muktainagar
5 Latur 1 Latur
6 Nashik 1 Chandwad 1 Deola
2 Sinnar
3 Niphad
7 Pune 1 Baramati
2 Purandhar
8 Sangli 1 Kavathe Mahankal 1 Miraj
9 Solapur 1 Malshiras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10,Nill,,,,16,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Bhadrak 1 Chandbali
2 Jagatsinghpur 2 Ersama
3 Kendrapara 1 Mahakalpara
2 Marshaghai
3 Rajkanika
4 Rajnagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nil,,Nil,6,,,314,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Amritsar 1 Ajnala
2 Chogawan
3 Harsha China
4 Jandiala
5 Majitha
6 Rayya
7 Tarsika
8 Verka
2 Barnala 1 Barnala
2 Mahal Kalan
3 Sehna
3 Bathinda 1 Nathana 1 Phul
2 Rampura 2 Maur
3 Bathinda
4 Faridkot 1 Faridkot
2 Kot Kapura
5 Fatehgarh Sahib 1 Khera
2 Sirhind
3 Amloh
4 Bassi Pathana
5 Khamanon
6 Ferozepur 1 Fazilka
2 Ferozpur
3 Ghall Khurd
4 Guru Har Sahai
5 Jalalabad
6 Makhu
7 Mamdot
8 Zira
7 Gurdaspur 1 Narot Jaimal Singh 1 Gurdaspur 1 Batala
2 Fatehgarh Churian
3 Kahnuwan
4 Kalanaur
5 Qadian
6 Sri Hargobindpur
7 Dera Baba Nanak
8 Dhariwal
9 Hoshiarpur 1 Talwara 1 Hoshiarpur-1 1 Dasuya
2 Garhsahnkar
3 Hazipur
4 Tanda
10 Jalandhar 1 Adampur
2 Bhogpur
3 Rurka Kalan
4 Jalandhar-East
5 Jalandhar-West
6 Lohian
7 Nakodar
8 Nur Mahal
9 Phillaur
10 Shahkot
11 Kapurthala 1 Nadala
2 Dhilwan
3 Kapurthala
4 Phagwara
5 Sultanpur Lodhi
12 Ludhiana 1 Dehlon
2 Doraha
3 Jagraon
4 Khanna
5 Ludhiana
6 Mangat
7 Pakhowal
8 Raikot
9 Samrala
10 Sidhwan Bet
11 Sudhar
13 Mansa 1 Bhikhi
2 Budhlada
3 Jhunir
4 Mansa
5 Sardulgarh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14 Moga 1 Bagha Purana
2 Dharamkot (Kot Isa Khan)
3 Moga I
4 Moga Ii
5 Nihal Singh Wala
15 Mukatsar -
16 Nawan Shahr 1 Aur
2 Nawan Shahr
3 Banga
17 Patiala 1 Bhuner Heri
2 Ghanaur
3 Nabha
4 Patiala
5 Rajpura
6 Samana
7 Sanaur
8 Patran
19 Ropar 1 Chamkaur Sahib
2 Morinda
3 Nurpur Bedi
19 Mohali 1 Dera Bassi
2 Kharar
20 Sangrur 1 Ahmedgarh
2 Andana
3 Bhiwanigarh
4 Dhuri
5 Lehraghaga
6 Maler Kotla
7 Sangrur
8 Sherpur
9 Sunam
20 Tarn Taran 1 Bhikhiwind
2 Chola Sahib
3 Gandiwind
4 Khadur Sahib
5 Naushehra Panuan
6 Patti
7 Tarn Taran
8 Valtoha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,110,Nil,,,138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1Ajmer - - 1.Arain -
- - 2. Bhinai -
- - 3. Jawaja -
- - 4. Pisangan -
- - 5. Silora -
- - 6. Srinagar -
- - 7 Kekri -
- - 8 Masuda -
2Alwar - - 1.Behror -
- - 2. Bansur -
- - 3. Kathumar -
- - 4. Kishangarh -
- - 5. Kotkasim -
- - 6. Laxmangarh -
- - 7. Mandawar -
- - 8. Neemrana -
- - 9. Rajgarh -
- - 10. Ramgarh -
- - 11. Reni -
- - 12. Tijara -
- - 13. Umrain -
- - 14 Thana ghazi -
3Banswara - - - -
- - - -
- - - -
1. Kushalgarh - - -
- - - -
- - - -
- - - -
4Baran 1. Kishanganj - 1. Atru -
- - 2. Baran -
- - 3 Anta -
- - 4 Chhipabarod -
- - 5 Chhabra -
5Barmer - 1.Sindhri 1. Baetu -
- 2.Chohtan 2. Balotra -
- 3. Dhorimanna -
- 4. Siwana -
- 5. Sheo -
6Bharatpur - 1.Bayana 1. Nadbai -
- 2.Deeg 2. Sewar -
- 3.Kama 3. Weir -
- 4.Nagar 4. Roopwas -
- - 5. Kumher -
- - - -
7Bhilwara - - 1. Asind -
- - 2. Banera -
- - 3. Hurda -
- - 4. Jahajpur -
- - 5. Mandal -
- - 6. Mandalgarh -
- - 7. Raipur -
- - 8. Suwana -
- 9. Kotri -
- - 10. Sahada -
- - 11. Shahpura -
8Bikaner 1. Kolayat - 1. Bikaner -
- - 2. Nokha Khajuwala
- - 3 Dungargarh -
9Bundi 1. K.Patan - 1. Hindoli -
- - 2.Nainwa -
- - 3.Talera -
10Chittorgarh - - 1. Begun -
- - 2. Bhadesar -
- - 3. Bhopalsagar -
- - 4. Chittorgarh -
- - 5. Dungla -
- - 6. Gangrar -
- - 7 Kapasan -
- - 8. Nimbahera -
- - 9 Rashmi -
- - 10.Bari Sadri -
- - 11 .Bhainsrorgarh -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11Churu 1.Churu - 1.Rajgarh -
2.Ratangarh - 2. Sujangarh -
- - - 1 Taranagar
12Dausa - - 1. Bandikui -
12Dausa - - 2. Dausa -
- - 3. Lalsot -
- - 4. Mahua -
- - 5. Sikrai -
13Dholpur - 1. Bari 1.Dholpu -
- - 2. Rajakhera -
- - 3.Baseri -
- - - -
14Dungarpur 1. Bichhiwara - - -
2. Dungarpur - - -
3.Sagwara - - -
4.Simalwara - - -
15Ganganagar - - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - -
- - - -
16Hanumangarh - - - -
- - - -
- - - -
17Jaipur 1.Phagi - 1. Amer -
- - 2. Bairath -
- - 3. Bassi -
- - 4. Chaksu -
- - 5. Govindgarh -
- - 6. JamwaRamgarh -
- - 7.Jhotwara -
- - 8.Kotputli -
- - 9.Sambher -
- - 10.Sanganer -
- - 11Shahpura -
- - 12.Dudu -
18Jaisalmer - 1. Sam 1. Jaisalmer -
- - 2. Sankra -
19Jalore - - 1.Ahore -
- - 2.Bhinmal -
- - 3.Jalore -
- - 4. Jaswantpura -
- - 5. Raniwara -
- - 6 Chitalwana -
- - 7. Sanchore -
- - 8. Sayla -
20Jhalawar - Khanpur/94.17 1. Manohar Thana -
- - 2. Pirawa -
- - 3.Bakani -
- - 4.Dag -
- - 5.J.Patan -
21Jhunjhunu - - 1.Buhana -
- - 2.Chirawa -
- - 3.Jhunjhunu -
- - 4. Khetri -
- - 5.Nawalgarh -
- - 6.Surajgarh -
- - 7.Udaipurwati -
- - 8. Alsisar -
22Jodhpur 1. Luni - 1.Balesar -
- - 2.Bhopalgarh -
- - 3..Bilara -
- - 4. Mandore -
- - 5. Osian -
- - 6.Baori -
- - 7.Shergarh -
- - 8.Phalodi -
23Karauli - 1. Nadauti 1.Hindaun -
- 2.Karauli 2. Sapotra -
- - 3.Todabhim -
24Kota 1.Itawa - -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.Ladpura - 1. Khairabad -
3.Sultanpur - -
- - 2. Sangod -
25Nagaur - 1. Nagaur 1. Degana -
- 2.Ladnu 2. Didwana -
- - 3. Kuchaman -
- - 4. Merta -
- - 5. Mundwa -
- - 6.Parbatsar -
- - 7. Riyan -
- - 8.Makrana -
- - 9.Jayal -
26Pali 1.Pali 1.Rohat 1. Jaitaran -
- 2.Sumerpur 2. Marwar Jn -
- - 3. Rani -
- - 4. Sojat -
- - 5.Raipur -
- - 6.Bali -
- - 7.Desuri -
- 1.Dharyawad 1.Pratapgarh -
- - 2. Chhoti Sadri -
27Pratapgarh - - -
- - -
- - 3.Arnod -
28Rajsamand - - 1. Amet -
- - 2. Bhim -
- - 3. Deogarh -
- - 4. Khamnor -
- - 5. Kumbhalgarh -
- - 6.Railmagra -
- - 7.Rajsamand -
29SawaiMadhopur - - 1. Gangapur -
- - 2. SawaiMadhopur -
- - 3.Bamanwas -
- - 4.Khandar -
- - 5.Bonli -
30Sikar 1. Fatehpur - 1.Danta Ramgarh -
- - 2.Dhod -
- - 3. Khandella -
- - 4. Lachhmangarh -
- - 5.Neem Ka Thana -
- - 6. Piprali -
- - 7.Sri Madhopur -
31Sirohi - 1.Abu Road 1. Reodar -
- 2.Pindwara 2. Sheoganj -
- - 3. Sirohi -
32Tonk 1.Todaraisingh 1.Deoli 1.Malpura -
2.Tonk - - -
- - 2.Newai -
- - 3.Uniara -
- - - -
33Udaipur 1.Kotra 1.Lasadiya 1. Badgaon -
- 2.Jhadol 2. Bhinder -
- 3.Kherwara 3. Girwa -
- 4.Salumber 4.Gogunda -
- 5.Sarada 5. Mavli -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,2,,,243,,,,,172,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Ariyalur 1Sendurai 1Suthamalli
2 Chennai 1Egmore - Nungambakkam--I
2Egmore - Nungambakkam--Ii
3Egmore - Nungambakkam--Iii
4Egmore - Nungambakkam-Iv
5Kottai - Thondiarpet-I
6Kottai - Thondiarpet-Ii
7Kottai - Thondiarpet-Iii
8Kottai - Thondiarpet-Iv
9Mambalam - Guindy-I
10Mambalam - Guindy-Ii
11Mambalam - Guindy-Iii
12Mambalam - Guindy-Iv
13Mylapore - Tiruvallikeni--I
14Mylapore - Tiruvallikeni--Ii
15Mylapore - Tiruvallikeni--Iii
16Mylapore - Tiruvallikeni--Iv
17Purasawalkam - Perambur-I
18Purasawalkam - Perambur-Ii
19Purasawalkam - Perambur-Iii
20Purasawalkam - Perambur-Iv
3 Coimbatore 1Alandurai 1Ottakkal Mandabam 1Annur(N)
2Annur(S) 2Anupparpalayam
3Karamadai 3Coimbatore South
4Kottur 4Ganapathi
5Madukkarai 5Karumathampatti
6Marchinaickenpalayam 6Kinathukatavu
7Mettupalayam 7Kolarpatti
8Saravanampatti 8Kovilpalayam
9Sarkar Samakulam 9Perianaickenpalayam
10Perianegamam
11Perur
12Pollachi(N)
13Pollachi(S)
14Ramapattinam
15Selakkarichal
16Singanallur
17Sulur
18Thondamuthur
19Thudialur
20Vadachittur
21Varapatti
4 Cuddalore 1Panruti 1Manjakkuppam 1Kammapuram(E)
2Sethiyathope 2Nellikuppam 2Kammapuram(W)
3Thozhudur 3Sirupakkam 3Pennadam
4Tittagudi (E) 4Retty Chavadi
5Veppur 5Thiruvanthipuram
6Virudhachalam (N) 6Umangalam
7Virudhachalam (S)
5 Dharmapuri 1Dharmapuri 1Bommidi
2Harur 2Indur
3Krishnapuram 3Kadathur
4Morappur 4Kambainallur
5Nallampalli 5Karimangalam
6Pappireddipatty 6Marandahalli
7Sunjalnatham 7Palacode
8Theerthamalai 8Palayam
9Papparapatty
10Pennagaram
11Perumbalai
12Pulikarai
13Thenkaraikottai
14Vellichandai
6 Dindigul 1Athoor 1Oruthattu 1Ayyampalayam
2Ayakudi 2Pillaiyarnatham 2Batlagundu
3Ayyalur 3Chinnakkampatti
4Dharmathupatti 4Chinnalpatti
5Dindigul South 5Devathur
6Dindigul North 6Eriodu
7Kambiliampatti 7Kallimanthayam
8Korikadavu 8Kottanatham
9Natham 9Kovilur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sl.No District Semi Critical Critical Over Exploited Saline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6 Dindigul 10Pappampatti 10Nilakottai
11Reddiapatti 11Oddanchathram
12Senthurai 12Palakkanoothu
13Palayam
14Puliyurnatham
15Reddiarchatram
16Sanarpatti
17Silvathur
18Thoppampatti
19Vadamadurai
20Vedasandur
21Viruveedu
7 Erode 1Ammapettai 1Athani 1Bhavanisagar
2Anthiyur 2Chennimalai
3Arachalur 3Elathur
4Arasur 4Erode East
5Bhavani 5Erode North
6Erode west 6Kodumudi
7Kanjikoil 7Modakurichi
8Kasipalayam 8Nambiyur
9Kavandapadi 9Perundurai
10Kilampadi 10Punjaipuliampatti
11Kurichi 11Vellode
12Kuthiyalathur
13Siruvalur
14Sivagiri
15Thalavadi
16Thingalur
17Sathyamangalam
18Poondurai
8 Kancheepuram 1Acchirupakkam 1Chittiambakkam 1Govindhavadi
2Arumpuliyur 2Jameenendathur 2L.Endathur
3Chengalpattu 3Pallur 3Orathi
4Cheyyur 4Thirukazhukundram 4Sirukaveripakkam
5Chithamur 5Thirupulivanam 5Thiruppu Kuzhi
6Guduvancheri 6Walajabad
7Kaliyampoondi
8Kattankulathur
9Kunnavakkam
10Mamallapuram
11Mangadu
12Nerumbur
13Onampakkam
14Ponvilayanthakalathur
15Uthiramerur
9 Kanyakumari
10 Karur 1Chinthalavadi 1Kattalai 1K.Paramathy
2Karur 2Kadavur
3Panjapatti 3Mailampatti
4Thalapatti 4Pallapatti
5Thogaimalai 5Pugalur
6Thennilai
7Thoranakalpatti
8Vangal
9Velliyanai
11 Krishnagiri 1Bagalur 1Alapatti
2Barur 2Bargur
3Berigai 3Guruparapalli
4Hosur 4Kallavi
5Kaveripattinam 5Krishnagiri
6Kelamangalam 6Mathur
7Nagarasampatti 7Palepalli
8Periyamuthur 8Pochampalli
9Rayakottai 9Samalpatti
10Shoolagiri 10Samarapatti
11Uthanapalli 11Singarapettai
12Uthangarai
13Veppanapalli
12 Madurai 1Madurai East 1Sedapatti 1Usilampatti
2Madurai West 2Uthappanaickanur
3 Pudukotta 3Muduvarpatti
4Kottampatti 4Palamedu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sl.No District Semi Critical Critical Over Exploited Saline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
